发布者;真实一级评论数;真实点赞数;边数;最大边数;集群密度
WanNan婉岚;1;13;14;21673;0.0006459650256078992
慧腐烂的心QY;9;5;14;21673;0.0006459650256078992
吴谨言不是搞笑女;5;3;8;21673;0.0003691228717759424
陳企鵝_Patty;4;2;6;21673;0.0002768421538319568
可一不可再yay;1;2;3;21673;0.0001384210769159784
商丘医专微校园;5;11;16;21673;0.0007382457435518848
spend盐;4;1;5;21673;0.00023070179485996402
山野念川y;7;9;16;21673;0.0007382457435518848
-酌幂難寒月;6;18;24;21673;0.0011073686153278272
盐式夏日;8;5;13;21673;0.0005998246666359064
栀鸢悸屿_;5;1;6;21673;0.0002768421538319568
Y張好看;4;2;6;21673;0.0002768421538319568
陵鹤尤美;211;119;330;21673;0.015226318460757624
心念奶鹽;10;14;24;21673;0.0011073686153278272
-择一;2;7;9;21673;0.0004152632307479352
是王怀玉yu呀;14;21;35;21673;0.001614912564019748
天空树上的城堡;1;3;4;21673;0.0001845614358879712
DEAR樂然;12;21;33;21673;0.0015226318460757624
字体设计;3;76;79;21673;0.0036450883587874315
木兰心扉;2;3;5;21673;0.00023070179485996402
正能量的黄跳跳_;1;1;2;21673;9.22807179439856e-05
爱鱼丸丸的刺;27;26;53;21673;0.0024454390255156185
莹儿KKW;5;10;15;21673;0.0006921053845798921
新年伊始丶;6;6;12;21673;0.0005536843076639136
音浪剧;108;113;221;21673;0.01019701933281041
娱赞赞;114;142;256;21673;0.011811931896830156
_扬媚兔淇;5;4;9;21673;0.0004152632307479352
以帅治国方能长久;3;4;7;21673;0.0003229825128039496
千毅yi;92;100;192;21673;0.008858948922622617
追剧;511;1425;1936;21673;0.08932773496977807
娱文洛;100;107;207;21673;0.00955105430720251
追剧情报社;6;134;140;21673;0.006459650256078992
少女追剧指南;91;105;196;21673;0.009043510358510589
烫水的热嘴;708;1915;2623;21673;0.12102616158353711
剧综淡淡;104;104;208;21673;0.009597194666174503
剧综哇哇;103;119;222;21673;0.010243159691782402
微博电视剧;111;413;524;21673;0.024177548101324227
星空下的萤火虫___;10;14;24;21673;0.0011073686153278272
你好呀我的宠爱;1;2;3;21673;0.0001384210769159784
木兰心扉;2;2;4;21673;0.0001845614358879712
剧迷成团;23;307;330;21673;0.015226318460757624
我变一颗凌檬;10;113;123;21673;0.005675264153555115
旎的小小小可爱;9;12;21;21673;0.0009689475384118488
·不用长大;7;3;10;21673;0.00046140358971992804
想在五斤盐睫毛上荡秋千;6;3;9;21673;0.0004152632307479352
太龙宫主;1;3;4;21673;0.0001845614358879712
北北北小方;7;37;44;21673;0.0020301757947676835
亦生亦心珍茜你;1;1;2;21673;9.22807179439856e-05
闪电泡芙饼干;3;9;12;21673;0.0005536843076639136
燕野行;6;6;12;21673;0.0005536843076639136
_落雨羡鱼;1;6;7;21673;0.0003229825128039496
且行且歌Aaron;6;21;27;21673;0.0012457896922438056
灰灰有娱;2;2;4;21673;0.0001845614358879712
Lyreair;1;26;27;21673;0.0012457896922438056
洛阳师范学院微博协会;1;2;3;21673;0.0001384210769159784
雪魔武卫小莫离;7;37;44;21673;0.0020301757947676835
南瓜味礼帽;1;2;3;21673;0.0001384210769159784
火力橙现;132;2;134;21673;0.006182808102247035
