发布者;群体情绪;时间
小猪婧婧;0.00036143148451827446;2023-02-04 12:42:39
林仔tata;-0.0003219982225401084;2023-02-04 12:39:39
纲手大人Sherry;-0.00014580932989499958;2023-02-04 12:38:58
欧洲文艺评论;0.008935262056332103;2023-02-04 12:37:15
虚无寒君;-0.000191908915607734;2023-02-04 12:36:20
百二十五頁;-8.506241976428024e-05;2023-02-04 12:35:40
经济观察报;-4.027603017478822e-05;2023-02-04 12:34:38
微天下;0.0023434453375171184;2023-02-04 21:31:21
携隐;0.00035961142194410414;2023-02-04 13:25:08
瞳_口嗨落学家;-3.228921337657763e-05;2023-02-04 12:47:28
中科大胡不归;6.825706753613839e-05;2023-02-04 12:40:33
萧秋水;0.0021042762541601174;2023-02-07 16:50:33
路意Louis;0.0001897261948650052;2023-02-04 20:40:16
瘦驼;2.5013567434309784e-05;2023-02-04 13:14:58
宝玉xp;0.006369495846343956;2023-02-04 12:59:35
雷雷發言記錄冊;0.00026810753644464604;2023-02-04 12:42:58
薄荷青柠硬糖;4.342640365049359e-05;2023-02-04 08:21:32
美剧叔;1.1301306864423665e-05;2023-02-05 21:21:49
转转呜呜呜;-0.0002250989601042761;2023-02-05 21:23:52
新浪热点;0.00023065160611330745;2023-02-05 21:34:19
粤B汤还热;2.313811152061972e-05;2023-02-05 23:33:30
京城第一母老虎;0.002035839845453971;2023-02-05 21:44:32
廷祐JungWoo_Jungvely;0.0003527529500988562;2023-02-05 21:39:19
手机上的新浪;-0.00023573587646863616;2023-02-05 21:21:38
槽值;0.0022878910350764858;2023-02-05 21:49:17
新浪新闻;9.153715215098532e-05;2023-02-05 21:45:38
藤子_立志每日一图bot;3.727655049273946e-07;2023-02-06 10:22:07
廷祐JungWoo_Jungvely;0.0005095083355396441;2023-02-06 00:02:21
携隐;0.0002655903006401336;2023-02-05 21:56:38
第八个不是铜像;0.0002765615028601032;2023-02-05 21:38:16
ZOL中关村在线;0.0;2023-02-06 10:20:36
数码磕学家;0.0007534651521580591;2023-02-06 09:13:45
科技有意思;0.011703798078191484;2023-02-06 09:08:09
Kema1990;0.00010068312579907328;2023-02-06 00:54:56
