发布者;真实一级评论数;真实点赞数;边数;最大边数;集群密度
zxwLH凌霍;1;3;4;40790;9.806325079676392e-05
苏泽ze;1;2;3;40790;7.354743809757294e-05
十月影业OV;4;12;16;40790;0.00039225300318705567
月色nice;2;3;5;40790;0.00012257906349595488
超高校级的王妃;38;155;193;40790;0.004731551850943858
江雪千年;3;15;18;40790;0.0004412846285854376
星云神级;14;36;50;40790;0.001225790634959549
不赢人;20;313;333;40790;0.008163765628830595
LegendCasillas;1;3;4;40790;9.806325079676392e-05
不想会后悔;3;6;9;40790;0.0002206423142927188
彩云小梦;60;412;472;40790;0.011571463594018143
屑之屑渣渣;4;18;22;40790;0.0005393478793822015
盖大书;1;5;6;40790;0.00014709487619514588
山石木乔_岩桥;6;16;22;40790;0.0005393478793822015
小猫种大鱼;6;61;67;40790;0.0016425594508457956
浅浅的中个奖;1;1;2;40790;4.903162539838196e-05
疯狂的joker;1;5;6;40790;0.00014709487619514588
红烧小派蒙-;1;9;10;40790;0.00024515812699190976
仙草菠萝果;3;2;5;40790;0.00012257906349595488
