发布者;真实一级评论数;真实点赞数;边数;最大边数;集群密度
南岭河边;1;2;3;8296;0.0003616200578592093
梧桐清声;1;1;2;8296;0.00024108003857280618
凯雷;44;71;115;8296;0.013862102217936354
野马野马啊;1;9;10;8296;0.0012054001928640309
墨說財經;12;45;57;8296;0.006870781099324976
cheggie;1;1;2;8296;0.00024108003857280618
Actrally;1;1;2;8296;0.00024108003857280618
张家齐la;84;568;652;8296;0.07859209257473482
花间笑-萧wz;3;1;4;8296;0.00048216007714561236
WenRen尚前;2;7;9;8296;0.0010848601735776277
大师我误了;1;1;2;8296;0.00024108003857280618
美鑫思密达;2;2;4;8296;0.00048216007714561236
沙雕轰炸机;1;4;5;8296;0.0006027000964320154
shylock1w1;1;1;2;8296;0.00024108003857280618
陈乐乐Diving;283;2209;2492;8296;0.3003857280617165
马方说管理;72;572;644;8296;0.07762777242044358
怎么才能变强;1;1;2;8296;0.00024108003857280618
证券市场红周刊;10;46;56;8296;0.006750241080038573
陈根微博;1;6;7;8296;0.0008437801350048216
磐石之心;3;8;11;8296;0.001325940212150434
花袜豇;1;2;3;8296;0.0003616200578592093
摩卡;402;3837;4239;8296;0.5109691417550627
刘洪明BMC619;11;59;70;8296;0.008437801350048216
皇城根下刀笔吏;43;190;233;8296;0.02808582449373192
36氪;22;85;107;8296;0.01289778206364513
皇城根下刀笔吏;66;654;720;8296;0.08678881388621022
短线牛掌柜;1;5;6;8296;0.0007232401157184186
蕨代霜蛟;20;239;259;8296;0.031219864995178398
敖丙;3;9;12;8296;0.0014464802314368371
电商报;9;54;63;8296;0.007594021215043395
卢晓周;5;23;28;8296;0.0033751205400192863
一只基宝;4;15;19;8296;0.002290260366441659
设屋攻業X2R;2;8;10;8296;0.0012054001928640309
永无君;1;4;5;8296;0.0006027000964320154
中国地震台网速报;9;58;67;8296;0.008076181292189007
赵宏民;11;15;26;8296;0.00313404050144648
王政;3;2;5;8296;0.0006027000964320154
二六九大队助理工程师;5;37;42;8296;0.005062680810028929
这个人是真的很懒;2;1;3;8296;0.0003616200578592093
望潮轩主;1;1;2;8296;0.00024108003857280618
乐享廊坊;1;2;3;8296;0.0003616200578592093
幻海轻云;1;1;2;8296;0.00024108003857280618
21世纪经济报道;6;14;20;8296;0.0024108003857280617
江白风;1;2;3;8296;0.0003616200578592093
吃定股市;56;130;186;8296;0.022420443587270973
夏虫工作室V;4;9;13;8296;0.00156702025072324
百度;18;31;49;8296;0.0059064609450337514
新浪科技;7;17;24;8296;0.0028929604628736743
新浪财经;8;17;25;8296;0.003013500482160077
上官一赢天;1;6;7;8296;0.0008437801350048216
投资者张;2;2;4;8296;0.00048216007714561236
梨视频;9;16;25;8296;0.003013500482160077
awu5425;2;4;6;8296;0.0007232401157184186
凯雷;14;21;35;8296;0.004218900675024108
深蓝财经;3;3;6;8296;0.0007232401157184186
Lingomancy话术研;33;602;635;8296;0.07654291224686596
品玩;4;2;6;8296;0.0007232401157184186
南方人物周刊;2;7;9;8296;0.0010848601735776277
木图星星;1;1;2;8296;0.00024108003857280618
爱昕爵螺;3;1;4;8296;0.00048216007714561236
江瀚的视野;1;1;2;8296;0.00024108003857280618
当前身份为人类;2;4;6;8296;0.0007232401157184186
新浪科技;24;138;162;8296;0.0195274831243973
百度;7;11;18;8296;0.0021697203471552555
聚镁智能;5;6;11;8296;0.001325940212150434
忘川文纨WR;4;6;10;8296;0.0012054001928640309
赵宏民;4;12;16;8296;0.0019286403085824494
黎双富;2;11;13;8296;0.00156702025072324
不再不再见i;3;3;6;8296;0.0007232401157184186
海滩上的KOP;1;1;2;8296;0.00024108003857280618
拐点价值投资;1;1;2;8296;0.00024108003857280618
刘兴亮;6;24;30;8296;0.0036162005785920926
吴彦军;4;12;16;8296;0.0019286403085824494
姚凌宇;10;370;380;8296;0.04580520732883317
商悟社长;1;10;11;8296;0.001325940212150434
CYPRESSHILL;3;1;4;8296;0.00048216007714561236
财经网科技;2;4;6;8296;0.0007232401157184186
新浪财经;18;154;172;8296;0.020732883317261332
Olili_13;2;3;5;8296;0.0006027000964320154
郑峻;10;52;62;8296;0.007473481195756991
电商报;29;104;133;8296;0.01603182256509161
爱记仇的小熊猫;21;81;102;8296;0.012295081967213115
情报局的枪声与哲学讨论;1;2;3;8296;0.0003616200578592093
王什么冰_w;1;3;4;8296;0.00048216007714561236
Lingomancy话术研;1;22;23;8296;0.002772420443587271
老李滔滔不绝;42;164;206;8296;0.024831243972999035
后厂炒饭哥;2;7;9;8296;0.0010848601735776277
深圳股侠2022;1;10;11;8296;0.001325940212150434
轮途在线测评;4;4;8;8296;0.0009643201542912247
可以叫我山姆;6;12;18;8296;0.0021697203471552555
作手新一投研;5;8;13;8296;0.00156702025072324
凯雷;75;309;384;8296;0.04628736740597879
少述派;7;32;39;8296;0.0047010607521697206
兰生的瓶子;1;9;10;8296;0.0012054001928640309
毛哥和江叔;18;177;195;8296;0.0235053037608486
仰望弗洛伊德;3;9;12;8296;0.0014464802314368371
行走黑暗间;2;4;6;8296;0.0007232401157184186
数码科技大爆炸VVV;57;252;309;8296;0.037246865959498554
苏雨农;1;1;2;8296;0.00024108003857280618
烈焰童子;1;5;6;8296;0.0007232401157184186
刘泫子;2;2;4;8296;0.00048216007714561236
llyyxx是我;1;2;3;8296;0.0003616200578592093
菩提树上的狼;2;1;3;8296;0.0003616200578592093
扶他林身体去痛小银管;10;42;52;8296;0.00626808100289296
芬必得不为疼痛止步;28;192;220;8296;0.02651880424300868
雷达财经;1;1;2;8296;0.00024108003857280618
刘兴亮;9;15;24;8296;0.0028929604628736743
鼎盛风清;27;239;266;8296;0.03206364513018322
淘沙博士;1;16;17;8296;0.0020491803278688526
小螺号嘀嘀嘀崔;2;2;4;8296;0.00048216007714561236
小螺号嘀嘀嘀崔;2;1;3;8296;0.0003616200578592093
凯雷;26;93;119;8296;0.014344262295081968
凯雷;17;68;85;8296;0.010245901639344262
米悦说说;2;3;5;8296;0.0006027000964320154
哈勃观察员;18;78;96;8296;0.011571841851494697
庄志明律师;3;7;10;8296;0.0012054001928640309
keyring_xa;1;5;6;8296;0.0007232401157184186
晚然說;1;5;6;8296;0.0007232401157184186
chenge_ge;3;3;6;8296;0.0007232401157184186
智玩TOP;14;68;82;8296;0.009884281581485053
雷迪克R;1;4;5;8296;0.0006027000964320154
一蓑烟雨_hh;2;1;3;8296;0.0003616200578592093
内分泌王叔;2;1;3;8296;0.0003616200578592093
Jession2022;1;3;4;8296;0.00048216007714561236
凌晨刚醒;18;97;115;8296;0.013862102217936354
文辛于;2;1;3;8296;0.0003616200578592093
沁彩斑斓玉杂书房;1;2;3;8296;0.0003616200578592093
鸭城猫师爷;8;5;13;8296;0.00156702025072324
机电之家一体化;6;6;12;8296;0.0014464802314368371
不会做饭的黑客不是好铲屎官;5;3;8;8296;0.0009643201542912247
上个昵称有点长;1;3;4;8296;0.00048216007714561236
凯雷;23;76;99;8296;0.011933461909353906
朱锡庆;1;5;6;8296;0.0007232401157184186
小海0尐笨疍0;2;1;3;8296;0.0003616200578592093
克睿斯琛;1;1;2;8296;0.00024108003857280618
只因科技;4;6;10;8296;0.0012054001928640309
天方夜谭_丝路;2;33;35;8296;0.004218900675024108
评论尸;5;42;47;8296;0.005665380906460945
西州牧;1;5;6;8296;0.0007232401157184186
MetaPost_Official;1;1;2;8296;0.00024108003857280618
三言科技;5;34;39;8296;0.0047010607521697206
投资伯乐;6;28;34;8296;0.004098360655737705
山风岚和小湖;1;1;2;8296;0.00024108003857280618
北落的师门;13;24;37;8296;0.004459980713596914
设屋攻業X2R;1;5;6;8296;0.0007232401157184186
帆舞滔天;1;2;3;8296;0.0003616200578592093
逻辑石渔;2;2;4;8296;0.00048216007714561236
互联网纵横;3;2;5;8296;0.0006027000964320154
数字视线;2;2;4;8296;0.00048216007714561236
长安乔木在微博;4;5;9;8296;0.0010848601735776277
科技银狐;1;12;13;8296;0.00156702025072324
潘_驴_邓小闲;2;3;5;8296;0.0006027000964320154
H文先森;1;1;2;8296;0.00024108003857280618
